Datetime,Open,High,Low,Close,Volume
2021-05-10 09:30:00-04:00,129.21839904785156,129.5399932861328,129.1199951171875,129.21839904785156,2331341
2021-05-10 09:31:00-04:00,129.22000122070312,129.22000122070312,128.6999969482422,128.6999969482422,618615
2021-05-10 09:32:00-04:00,128.6999969482422,128.89779663085938,128.6199951171875,128.72999572753906,535742
2021-05-10 09:33:00-04:00,128.72999572753906,128.7899932861328,128.5500030517578,128.6300048828125,416395
2021-05-10 09:34:00-04:00,128.58999633789062,128.60299682617188,128.58999633789062,128.5966033935547,482004
2021-05-10 09:35:00-04:00,128.5,128.5800018310547,128.49000549316406,128.5800018310547,517751
2021-05-10 09:36:00-04:00,128.5,128.50999450683594,128.35000610351562,128.47360229492188,375970
2021-05-10 09:37:00-04:00,128.58999633789062,128.61000061035156,128.5500030517578,128.5500030517578,308322
2021-05-10 09:38:00-04:00,128.5,128.60000610351562,128.47999572753906,128.60000610351562,282852
2021-05-10 09:39:00-04:00,128.58999633789062,128.61000061035156,128.55999755859375,128.55999755859375,301487
2021-05-10 09:40:00-04:00,128.5,128.5,128.2899932861328,128.4001007080078,485007
2021-05-10 09:41:00-04:00,128.5,128.5,128.4550018310547,128.4550018310547,315593
2021-05-10 09:42:00-04:00,128.39920043945312,128.52000427246094,128.39920043945312,128.5050048828125,227544
2021-05-10 09:43:00-04:00,128.5,128.64999389648438,128.5,128.55999755859375,283615
2021-05-10 09:44:00-04:00,128.71499633789062,128.71499633789062,128.71499633789062,128.71499633789062,296232
2021-05-10 09:45:00-04:00,128.75,128.94000244140625,128.74989318847656,128.90989685058594,553703
2021-05-10 09:46:00-04:00,128.875,128.89169311523438,128.8300018310547,128.85000610351562,270760
2021-05-10 09:47:00-04:00,128.875,128.91000366210938,128.76499938964844,128.76499938964844,256652
2021-05-10 09:48:00-04:00,128.75,128.77999877929688,128.68499755859375,128.72970581054688,381196
2021-05-10 09:49:00-04:00,128.75,128.75,128.6750030517578,128.6999969482422,284126
2021-05-10 09:50:00-04:00,128.625,128.66839599609375,128.60000610351562,128.66839599609375,267738
2021-05-10 09:51:00-04:00,128.67990112304688,128.68499755859375,128.66000366210938,128.66000366210938,160439
